Geo_FIPS,Geo_NAME,Geo_GEOID,Geo_AREALAND,Geo_AREAWATR,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T128_001,SE_T128_002,SE_T128_009,SE_T128_010,SE_T128_003,SE_T128_004,SE_T128_005,SE_T128_006,SE_T128_007,SE_T128_008,SE_T129_001,SE_T129_002,SE_T129_003,SE_T129_004,SE_T129_005,SE_T129_006,SE_T129_007,SE_T129_008,SE_T129_009,SE_T129_010
53033002500,"Census Tract 25, King County, Washington",14000US53033002500,984333,0,2981,2981,7843.641,0.380053112,1712,1034,825,209,319,36,122,65,0,136,1712,1576,36,505,428,281,262,50,14,136
53033002600,"Census Tract 26, King County, Washington",14000US53033002600,1216657,28175,4989,4989,10620.45,0.469753914,2904,1706,1497,209,650,9,136,62,35,306,2904,2598,180,780,695,559,303,74,7,306
53033002700,"Census Tract 27, King County, Washington",14000US53033002700,1593775,0,6027,6027,9794.267,0.615359994,3609,2196,1950,246,870,0,156,71,0,316,3609,3293,222,687,764,1099,421,42,58,316
53033002800,"Census Tract 28, King County, Washington",14000US53033002800,983387,0,4727,4727,12449.7,0.37968786,2901,1523,1333,190,641,22,188,136,13,378,2901,2523,71,430,513,768,562,151,28,378
53033002900,"Census Tract 29, King County, Washington",14000US53033002900,986207,0,4303,4303,11300.59,0.380776668,2608,1589,1420,169,451,38,182,171,24,153,2608,2455,218,563,467,734,377,96,0,153
53033003000,"Census Tract 30, King County, Washington",14000US53033003000,1493249,0,5719,5719,9919.405,0.576546687,3384,2147,1641,506,600,15,233,54,0,335,3384,3049,247,734,666,705,523,125,49,335
53033003100,"Census Tract 31, King County, Washington",14000US53033003100,2232860,465516,6223,6223,7218.319,0.862112102,3507,2405,2082,323,592,0,103,89,12,306,3507,3201,326,551,531,916,616,173,88,306
53033003200,"Census Tract 32, King County, Washington",14000US53033003200,2475044,1014738,8233,8233,8615.351,0.955619872,4989,2885,2520,365,848,49,339,215,52,601,4989,4388,390,808,875,942,1037,174,162,601
53033003300,"Census Tract 33, King County, Washington",14000US53033003300,1296368,0,6572,6572,13130.07,0.500530504,4539,2756,2409,347,800,55,430,122,94,282,4539,4257,285,911,1202,1003,621,190,45,282
53033003400,"Census Tract 34, King County, Washington",14000US53033003400,787147,0,3587,3587,11802.48,0.303919169,2061,1244,1133,111,256,18,166,177,10,190,2061,1871,87,449,595,482,165,57,36,190
53033003500,"Census Tract 35, King County, Washington",14000US53033003500,1284761,0,3960,3960,7983.082,0.496049016,2415,1410,1156,254,451,42,149,42,13,308,2415,2107,89,527,504,583,295,91,18,308
53033003600,"Census Tract 36, King County, Washington",14000US53033003600,1196463,0,6122,6122,13252.32,0.461956967,4151,2078,1894,184,1215,0,301,184,50,323,4151,3828,351,876,913,997,467,144,80,323
53033003800,"Census Tract 38, King County, Washington",14000US53033003800,624606,0,2165,2165,8977.378,0.241161735,1099,674,576,98,209,0,77,116,4,19,1099,1080,148,252,272,231,147,21,9,19
53033003900,"Census Tract 39, King County, Washington",14000US53033003900,973807,0,3080,3080,8191.729,0.375989001,1556,1116,1041,75,118,11,93,57,61,100,1556,1456,182,311,427,322,156,28,30,100
53033004000,"Census Tract 40, King County, Washington",14000US53033004000,2606984,3881765,3125,3125,3104.627,1.006562193,1564,1045,934,111,251,0,83,98,0,87,1564,1477,98,438,412,228,236,49,16,87
53033004100,"Census Tract 41, King County, Washington",14000US53033004100,3267563,5654701,7868,7868,6236.46,1.261613181,3728,2653,2281,372,385,0,147,203,0,340,3728,3388,486,1006,818,592,289,166,31,340
53033004200,"Census Tract 42, King County, Washington",14000US53033004200,2464009,0,8176,8176,8594.02,0.951359234,4583,2733,2266,467,648,26,460,327,68,321,4583,4262,395,1159,1015,968,630,57,38,321
53033004301,"Census Tract 43.01, King County, Washington",14000US53033004301,979359,0,3548,3548,9382.951,0.37813264,1860,1047,929,118,414,15,118,141,0,125,1860,1735,104,501,526,355,154,75,20,125
53033004302,"Census Tract 43.02, King County, Washington",14000US53033004302,330714,0,3703,3703,29000.06,0.127689395,1529,529,414,115,381,30,143,330,14,102,1529,1427,184,438,302,308,78,56,61,102
53033004400,"Census Tract 44, King County, Washington",14000US53033004400,989908,0,6607,6607,17286.51,0.382205632,4365,1676,1549,127,1163,15,499,827,64,121,4365,4244,319,1104,1130,998,343,179,171,121
53033004500,"Census Tract 45, King County, Washington",14000US53033004500,671000,0,3052,3052,11780.39,0.259074559,1974,848,751,97,575,0,190,182,31,148,1974,1826,172,513,371,519,203,48,0,148
53033004600,"Census Tract 46, King County, Washington",14000US53033004600,1552357,1033231,3464,3464,5779.417,0.599368414,2126,1335,1217,118,341,9,92,45,32,272,2126,1854,185,497,479,475,176,42,0,272
53033004700,"Census Tract 47, King County, Washington",14000US53033004700,1950914,353088,8395,8395,11145.01,0.753252139,5833,3395,2814,581,1294,0,229,534,69,312,5833,5521,476,1192,1324,1491,733,261,44,312
53033004800,"Census Tract 48, King County, Washington",14000US53033004800,1318565,41555,4772,4772,9373.389,0.509100814,3327,1923,1619,304,714,89,261,83,0,257,3327,3070,230,833,777,767,324,95,44,257
53033004900,"Census Tract 49, King County, Washington",14000US53033004900,1085823,25325,6923,6923,16513.27,0.419238622,5308,2772,2538,234,1734,22,270,265,24,221,5308,5087,383,1540,1273,968,788,135,0,221
53033005000,"Census Tract 50, King County, Washington",14000US53033005000,757380,0,3695,3695,12635.67,0.292426065,2536,1386,1199,187,678,10,146,164,7,145,2536,2391,130,625,620,728,239,42,7,145
53033005100,"Census Tract 51, King County, Washington",14000US53033005100,881711,0,3726,3726,10944.96,0.340430535,2343,1344,1116,228,386,17,113,245,18,220,2343,2123,220,656,522,537,165,23,0,220
53033005200,"Census Tract 52, King County, Washington",14000US53033005200,964721,85584,6644,6644,17837.16,0.372480876,3769,1474,1174,300,1042,0,187,841,15,210,3769,3559,143,1063,1250,624,364,115,0,210
53033005301,"Census Tract 53.01, King County, Washington",14000US53033005301,543485,0,7377,7377,35155.23,0.209840741,3027,669,615,54,1058,4,96,856,10,334,3027,2693,211,757,645,676,230,92,82,334
53033005302,"Census Tract 53.02, King County, Washington",14000US53033005302,2511567,745303,5178,5178,5339.678,0.969721481,1159,153,111,42,225,0,8,240,10,523,1159,636,95,299,104,65,22,51,0,523
53033005400,"Census Tract 54, King County, Washington",14000US53033005400,1199275,647090,5022,5022,10845.65,0.463042686,3753,1874,1672,202,867,15,341,340,0,316,3753,3437,308,1079,857,704,359,130,0,316
53033005600,"Census Tract 56, King County, Washington",14000US53033005600,3032928,1587292,6424,6424,5485.815,1.171020097,3004,2293,2106,187,315,0,98,50,13,235,3004,2769,94,602,737,714,482,90,50,235
